no,page,jap,eng,small,vmn,chn
0,ooame5,問５　自宅に、予測が困難な災害リスクがありますか？,Q5 Does your home have disaster risks that are difficult to predict?,もんだい5　じぶんのいえに、そうぞうができないようなさいがいのかのうせいがありますか？,Câu hỏi 5: Nhà của bạn có nguy cơ thiên tai khó dự đoán không?,问题5：您的住所是否存在难以预测的灾害风险？
1,ooame5,自宅に、以下の条件が当てはまりますか?１つでも当てはまれば、予測困難な災害リスク「あり」です。,Do any of the following apply to your home? If even one is true、 there is a disaster risk that is difficult to predict.,じぶんのいえに、このしたのじょうけんがあてはまりますか？ひとつでもあてはまったら、そうぞうができないようなさいがいのかのうせい「あり」です。,Nhà của bạn có thuộc các điều kiện sau đây không? Nếu có một điều kiện áp dụng、 sẽ được coi là có nguy cơ thiên tai khó dự đoán.,您的住所是否符合以下条件？如果符合任意一项、则存在难以预测的灾害风险。
2,ooame5,(１)急激な水位上昇のおそれがある河川が近くにある。,(1)There is a nearby river that is at risk of a sudden rise in water level.,(1)　きゅうにみずがふえるかのうせいがあるかわがちかくにある。,(1) Có con sông gần đó có khả năng mực nước tăng đột ngột.,1.住所附近有可能发生急剧水位上升的河流。
3,ooame5,(２)土砂災害のリスクがある。,(2)There is a risk of landslide disaster.,(2)　やまやがけがくずれたり、つちやすながかわにながれたりするかのうせいがある。,(2) Có nguy cơ lở đất.,2.存在山体滑坡的风险。
0,ooame_lv1,安全な場所にいる人まで避難する必要はありません,People in safe places do not need to evacuate.,あんぜんなばしょにいるひとまでひなんするひつようはないです,Những người ở nơi an toàn không cần phải sơ tán.,处于安全地区的人无需避难。
1,ooame_llv1,ハザードマップで表現されていない災害リスクを見逃さないよう、事前にしっかり確認しましょう,Be sure to check in advance so that you do not miss any disaster risks that are not displayed on the hazard map.,ハザードマップにかかれていないさいがいのかのうせいをみおとさないように、しっかりとかくにんしましょう。,Hãy kiểm tra kỹ trước để không bỏ sót các rủi ro thiên tai không được thể hiện trên bản đồ nguy cơ.,请提前仔细确认、避免忽略灾害地图上未标示的灾害风险。
0,ooame_llv2,自宅に留まり安全確保することも可能です,You can stay home and stay safe,じぶんのいえにいてあんぜんをたもつこともできます,Bạn cũng có thể ở lại nhà để đảm bảo an toàn.,也可以选择留在家中确保安全。
1,ooame_llv2,少しでも上へ移動　山や崖等から離れた部屋へ移動　危険を感じたら立退き避難,Move up even a little. Move to a room away from mountains、 cliffs、 etc. Evacuate if you feel danger.,すこしでもうえにいどう　やまやがけなどからはなれたへやにいどう　きけんだなとおもったらすぐにひなん,Hãy di chuyển lên nơi cao hơn、 đến phòng cách xa núi hoặc vách đá、 và sơ tán nếu cảm thấy nguy hiểm.,尽量向高处移动、远离山体或悬崖的房间、如感到危险应立即撤离避难。
0,ooame_llv3,警戒レベル３で確実に避難,Surely evacuate at alert level 3,けいかいレベル3でぜったいにひなん,Sơ tán chắc chắn ở mức cảnh báo cấp 3.,预警等级3：高龄者等应立即避难
1,ooame_llv3,高齢者等避難,Evacuation order for the elderly,としをとったおじいちゃんおばあちゃんたちはひなん,Sơ tán người cao tuổi và các đối tượng cần hỗ trợ.,高龄者等避难
0,ooame_llv4,警戒レベル４で確実に避難,Surely evacuate at alert level 4,けいかいレベル4でぜったいにひなん,Sơ tán chắc chắn ở mức cảnh báo cấp 4.,预警等级4：所有人必须立即避难
1,ooame_llv4,避難指示,evacuation order,ひなんのめいれい,Chỉ thị sơ tán.,避难指示
0,ooame6,大雨時の行動整理,Arrange actions during heavy rain,おおあめのときのじぶんのこうどうの,Sắp xếp hành động khi có mưa lớn.,整理暴雨时的行动计划
1,ooame6,ハザードマップを表示,display hazard map,ハザードマップをひょうじする,Hiển thị bản đồ nguy cơ.,显示灾害地图
2,ooame6,避難所を表示,display evacuation center,ひなんするところをひょうじする,Hiển thị nơi trú ẩn.,显示避难所
3,ooame6,判定,judge,はんていする,Phán định,评估
4,ooame6,次へ,next,つぎへ,Tiếp theo,下一步
0,hinan,ピンを選んで長押しすると、”ルート”を表示します,Select a pin and press and hold to display the route .,ピンを長おすると、”ルート”が表示されます,"Chọn ghim và nhấn giữ để hiển thị ""lộ trình"".",长按选择的标记可显示“路线”。
1,hinan,洪水,flood,こうずい,Lũ lụt,洪水
2,hinan,地震,earthquake,じしん,Động đất,地震
3,hinan,津波,tsunami,つなみ,Sóng thần,海啸
4,hinan,避難所,Shelter,ひなんするばしょ,Nơi trú ẩn,避难所
5,hinan,もどる,Back,もどる,Quay lại,返回
6,hinan,現在地,You are here,いまいるばしょ,Vị trí hiện tại,当前位置
7,hinan,検索,search,けんさく,Tìm kiếm,搜索
8,hinan,ルート,root,ルート,Lộ trình,路线
9,hinan,撮る,screenshot,スクリーンショット,Chụp ảnh,拍摄
11,hinan,住所から検索,Search by address,住所からさがす,Tìm kiếm từ địa chỉ,通过地址搜索
12,hinan,データベース登録件数,Number of database registrations,データベース登録件数,Số lượng mục đã đăng ký trong cơ sở dữ liệu,数据库登记件数
13,hinan,しばらくお待ちください..,Please wait..,ちょっと待ってね,Vui lòng chờ trong giây lát...,请稍候…
14,hinan,読込み件数が100％でない時は、すべてのデータを削除して、再度読込み処理を実行してください。,If the number of items read is not 100%、please delete all data and perform the reading process again.,読込み件数が100％でない時は、すべてのデータを削除して、再度読込み処理を実行してください。,Nếu số lượng dữ liệu đọc vào chưa đạt 100%、 hãy xóa tất cả dữ liệu và thực hiện lại quá trình tải dữ liệu.,如果数据读取未达到100%、请删除所有数据后重新读取。
15,hinan,データ読込み,Data loading,データ読込み,Tải dữ liệu,读取数据
16,hinan,削除,Delete,消します,Xóa,删除
0,hinanSave,インターネットに接続できない状態に備えて、避難所・避難場所や避難所までにルート等を保存するページです。最大４画面保存できます。,This page saves evacuation sites、 evacuation sites、 routes to evacuation sites、 etc. in case you cannot connect to the Internet. Up to 4 screens can be saved.,インターネットにつなぐことができないときのために、ひなんするばしょやひなんするばしょにいくためのいきかたをのこしておくためのページです。いちばんおおくて4つぶんのこしておくことができます。,Trang lưu thông tin về nơi trú ẩn、 địa điểm sơ tán và lộ trình đến nơi trú ẩn để sử dụng trong trường hợp không có kết nối Internet. Có thể lưu tối đa 4 màn hình.,本页面可用于在无法连接互联网的情况下、保存避难所、避难地点及前往避难所的路线。最多可保存4个画面。
1,hinanSave,_画像をタップすると拡大できます。画像を長押しすると削除できます。,Tap the image to enlarge. Press and hold the image to delete it.,がめんをたっぷするとおおきくひょうじできます。がぞうをながおしするとそのがぞうをすてることができます。,Nhấn vào hình ảnh để phóng to. Nhấn giữ hình ảnh để xóa.,点击图片可放大、长按图片可删除。
2,hinanSave,撮る,screenshot,スクリーンショット,Chụp ảnh,拍摄
3,hinanSave,削除確認,Delete confirmation,すてたかどうかかくにんする,Xác nhận xóa,删除确认
4,hinanSave,このデータを削除していいですか？,Are you sure you want to delete this data?,このデータをすててもいいですか？,Bạn có chắc chắn muốn xóa dữ liệu này không?,确定要删除此数据吗？
5,hinanSave,データがいっぱいです。,Data is full.,データがたくさんになりました。,Dữ liệu đã đầy.,数据已满。
6,hinanSave,新しい写真を保存するには、既存の写真を削除してください。,Please delete the existing photo to save the new photo.,あたらしいしゃしんをのこしておくためには、もともとのこしてあったしゃしんをすててください。,Để lưu ảnh mới、 hãy xóa ảnh hiện có.,要保存新照片、请先删除现有照片。
7,hinanSave,削除するには、対象の写真を長押ししてください。,Long press on the desired photo to delete it.,しゃしんをすてるためには、すてたいとおもうしゃしんをながおししてください。,Để xóa、 hãy nhấn giữ ảnh cần xóa.,长按目标照片即可删除。
1,lv1,心構えを高める！, Increase preparedness !,こころのじゅんびをちゃんとする！,Nâng cao ý thức phòng bị!,提高防灾意识！
2,lv1,災害への心構えを高める必要があることを示す警戒レベル１です。,this is level 1 which indicates that you have necessary to increase preparedness.,さいがいへのこころのじゅんびをちゃんとするひつようがあることをあらわしているけいかいレベル1です。,Đây là mức cảnh báo cấp độ 1、 cho thấy cần nâng cao ý thức phòng bị trước thiên tai.,这是表示需要提高防灾意识的预警等级1。
3,lv1,最新の防災気象情報等に留意するなど、災害への心構えを高めてください。,please increase your preparedness for disaster to pay attension to the newest disaster privention informasion and so on,あたらしいさいがいのよほうやじょうほうなどにきをつけて、さいがいへのこころのじゅんびをしっかりとしましょう。,Hãy chú ý đến thông tin khí tượng phòng chống thiên tai mới nhất để nâng cao ý thức phòng bị trước thiên tai.,请关注最新的防灾气象信息等、提高防灾意识。
4,lv2,避難行動の確認！,confirm the action for refuge,ひなんするためのこうどうのみなおし！,Xác nhận hành động sơ tán!,确认避难行动！
5,lv2,避難行動の確認が必要とされる警戒レベル２です。,this is level 2 which indicates that requires to confirm the action for refuge,ひなんするためのこうどうのみなおしがひつようとしているけいかいレベル2です。,Đây là mức cảnh báo cấp độ 2、 yêu cầu xác nhận hành động sơ tán.,这是需要确认避难行动的预警等级2。
6,lv2,ハザードマップ等により、災害が想定されている区域や避難先、避難経路を確認してください。,please confirm the action for refuge and check evacuation sites and areas where disasters are estimated ,ハザードマップなどによって、さいがいのかのうせいがあるかもしれないばしょやひなんするばしょ、ひなんするときのいきかたをみなおしてください。,Hãy kiểm tra bản đồ nguy hiểm (hazard map)、 khu vực dự kiến bị thiên tai、 nơi sơ tán và lộ trình sơ tán.,请使用灾害地图等确认可能发生灾害的区域、避难地点及避难路线。
7,lv3,高齢者は危険な場所から避難！,seniors please refuge from dangerous place,おじいちゃんおばあちゃんはあぶないばしょからにげよう！,Người cao tuổi cần sơ tán khỏi nơi nguy hiểm!,老年人应立即从危险区域避难！
8,lv3,地元の自治体が警戒レベル３高齢者等避難を発令する目安となる情報です。高齢者等は危険な場所からの避難が必要とされる警戒レベル３に相当します。,this is level 3 which indicates that seniors need to refuge from dangerous place. And this is a standard information that municipalities issue evacuation order for elderly、etc.,じぶんのすんでいるちくのじちたいがけいかいレベル3おじいちゃんおばあちゃんたちのひなんをするめやすとなるじょうほうです。おじいちゃんおばあちゃんはきけんなばしょからにげるひつようがあるけいかいレベル3になります。,Đây là thông tin làm cơ sở để chính quyền địa phương ban hành mức cảnh báo cấp độ 3 về sơ tán người cao tuổi.Cấp độ cảnh báo 3 yêu cầu người cao tuổi cần phải sơ tán khỏi nơi nguy hiểm.,这是当地政府发布预警等级3（老年人等避难）的参考信息。
9,lv3,災害が想定されている区域等では、自治体からの高齢者等避難の発令に留意するとともに、高齢者等以外の方もキキクル（危険度分布）や河川の水位情報等を用いて避難の準備をしたり自ら避難の判断をしたりしてください。,please pay attension to anouncement evacuation order for elderly、etc. others get ready to refuge and figure to refuge by yourselves by considering Kikikuru or River water level infomation. ,さいがいがおこるかもしれないばしょは、じぶんのすんでいるちくのじちたいからのおじいちゃんおばあちゃんたちのひなんのめいれいにきをつけておいて、おじいちゃんおばあちゃんたちいがいのひとたちもキキクル（きけんレベルひょう）やかわのみずのりょうにじょうほうなどをつかってひなんするためのじゅんびをしたり、じぶんでひなんをするかどうかをきめてください。,Ở các khu vực có nguy cơ thiên tai、 hãy chú ý thông tin sơ tán dành cho người cao tuổi từ chính quyền địa phương. Những người khác ngoài người cao tuổi cũng nên sử dụng thông tin Kikikuru (phân bố mức độ nguy hiểm) và mực nước sông để chuẩn bị hoặc tự đưa ra quyết định sơ tán.,在预计会发生灾害的区域、请注意政府发布的老年人等避难通知。同时、非老年人群体也应利用**キキクル（危险度分布）**或河流水位信息做好避难准备、并自主判断是否需要避难。
10,lv4,危険な場所から避難！,please refuge from dangerous place,きけんなばしょからすぐににげよう！,Sơ tán khỏi nơi nguy hiểm!,立即从危险区域避难！
11,lv4,地元の自治体が警戒レベル４避難指示を発令する目安となる情報です。危険な場所からの避難が必要とされる警戒レベル４に相当します。,this is level 4 which indicates that needs to refuge from dangerous place. And this is a piece of standard information that municipalities issue evacuation order.,じぶんのすんでいるちくのじちたいがけいかいレベル4ひなんめいれいをだすめやすとなるじょうほうです。きけんなばしょからひなんしてにげることがひつようになるけいかいレベル4にあたります。,Đây là thông tin làm cơ sở để chính quyền địa phương ban hành mức cảnh báo cấp độ 4 về chỉ thị sơ tán.Cấp độ cảnh báo 4 yêu cầu sơ tán khỏi nơi nguy hiểm.,这是当地政府发布预警等级4（避难指示）的参考信息。
12,lv4,災害が想定されている区域等では、自治体からの避難指示の発令に留意するとともに、避難指示が発令されていなくてもキキクル（危険度分布）や河川の水位情報等を用いて自ら避難の判断をしてください。,please pay attension to anouncement evacuation order、 get ready to refuge and figure to refuge by yourselves by considering Kikikuru or River water level infomation. ,さいがいがおこるかもしれないばしょは、じぶんのすんでいるちくのじちたいからのおじいちゃんおばあちゃんたちのひなんのめいれいにきをつけておいて、おじいちゃんおばあちゃんたちいがいのひとたちもキキクル（きけんレベルひょう）やかわのみずのりょうにじょうほうなどをつかってひなんするためのじゅんびをしたり、じぶんでひなんをするかどうかをきめてください。,Ở các khu vực dự kiến xảy ra thiên tai、 hãy chú ý đến chỉ thị sơ tán từ chính quyền địa phương. Ngay cả khi chưa có chỉ thị sơ tán、 hãy sử dụng thông tin Kikikuru (phân bố mức độ nguy hiểm) hoặc mực nước sông để tự đưa ra quyết định sơ tán.,在预计会发生灾害的区域、请注意政府发布的避难指示。此外、即使尚未发布避难指示、也应利用**キキクル（危险度分布）**或河流水位信息来自行判断是否需要避难。
13,lv5,高い所へ避難！！川から離れる！,refuge to higher ground ! leave river !,たかいばしょへにげる！かわからはなれて！,Sơ tán lên nơi cao!! Tránh xa dòng sông!,立即前往高处避难！远离河流！
14,lv5,地元の自治体が警戒レベル５緊急安全確保を発令する判断材料となる情報です。災害が発生又は切迫していることを示す警戒レベル５に相当します。,this is level 5 which indicates that disasters are coming or occured. And this can be information that municipalities issue emergency ensuring safety order.,じぶんのすんでいるちくのじちたいがけいかいレベル5きんきゅうあんぜんかくほをめいれいするかどうかをきめるじょうほうです。さいがいがおこったり、さいがいがおこってあせっていることをあらわしているけいかいレベル5です。,Đây là thông tin làm cơ sở để chính quyền địa phương ban hành mức cảnh báo cấp độ 5 về đảm bảo an toàn khẩn cấp.Cấp độ cảnh báo 5 cho thấy thiên tai đã xảy ra hoặc đang cận kề.,这是当地政府可能发布预警等级5（紧急安全保障）的参考信息。预警等级5表明灾害已经发生或即将发生。
15,lv5,何らかの災害がすでに発生している可能性が極めて高い状況となっています。命の危険が迫っているため直ちに身の安全を確保してください。,it is very likely that some kind of disaster has been occurred. Please ensure safety immediately as danger is approaching to your life.,なにかさいがいがいまのじてんでおこっているかのうせいがすごくたかくなっています。いのちのきけんがどんどんせまっているからいますぐにじぶんのみをまもるためのこうどうをとってください。,Có khả năng rất cao rằng một số thiên tai đã xảy ra.Nguy hiểm đến tính mạng đang cận kề、 vì vậy hãy lập tức đảm bảo an toàn cho bản thân.,目前极有可能已经发生某种灾害、生命安全受到威胁。请立即采取行动确保人身安全！
0,tuti,スイッチをOnにするとアプリが動作したときに通知を受け取れます。,When you turn on the switch、 you will receive notifications when the app is running.,スイッチをOnにするとアプリがうごいたときにつうちをうけとれます。,Khi bạn bật công tắc、 bạn sẽ nhận được thông báo khi ứng dụng hoạt động.,当您打开开关时、应用运行时会收到通知。
1,tuti,雷注意報,Thunderstorm Advisory,かみなりちゅういほう,Cảnh báo sấm sét,雷电注意报告 / 雷电预警
2,tuti,熱中症アラート,Heat Stroke Alert,ねっちゅうしょうアラート,Cảnh báo sốc nhiệt,中暑警报 / 高温中暑预警
0,splash,SHS災害.infoとは\nこのアプリは、2017年に佐土原高校の生徒によって「災害や防災に関する情報を発信するアプリ」という目的で名付けられました\n2025年で9年目を迎える、防災情報発信アプリです。,What is SHS災害.info?\nThis app was named by students of Sadowara High School in 2017 with the goal of being an app that provides information on disasters and disaster prevention.\nThis disaster prevention information dissemination app will be in its ninth year in 2025.,SHS災害.infoとは\nこのアプリは、2017年に佐土原高校の生徒によって「災害や防災に関する情報を発信するアプリ」という目的で名付けられました\n2025年で9年目を迎える、防災情報発信アプリです。,SHS災害.info là gì?\nỨng dụng này được học sinh trường trung học Sadowara đặt tên vào năm 2017 với mục đích là ứng dụng cung cấp thông tin về thảm họa và phòng chống thảm họa.\nĐây là ứng dụng phổ biến thông tin phòng chống thiên tai sẽ kỷ niệm năm thứ chín vào năm 2025,SHS災害.info 是什么？\n该应用程序由佐土原高中的学生于2017年命名、旨在成为提供有关灾害和防灾信息的应用程序。\n这是一款防灾信息传播应用程序、2025年将迎来第九个年头。
1,splash,監修：宮﨑地方気象台\nデザイン：産業デザイン科\nプログラム：情報技術部,Supervised by: Miyazaki Local Meteorological Observatory\nDesign: Department of Industrial Design\nProgram: Information Technology Club,監修：宮﨑地方気象台\nデザイン：産業デザイン科\nプログラム：情報技術部,Được giám sát bởi: Đài Khí tượng khu vực Miyazaki\nThiết kế: Khoa Thiết kế Công nghiệp\nLập trình: Bộ phận Công nghệ Thông tin,监制：宫崎地方气象台\n设计：工业设计科\n程序设计：信息技术部
56,mochi,高齢者に必要なもの,Items for elderly,おとしよりにひつようなもの,Vật dụng cho người cao tuổi,老人用品
57,mochi,女性に必要なもの,Items for women,じょせいにひつようなもの,Vật dụng cho phụ nữ,女性用品
58,mochi,簡易トイレ,Portable toilet,かんいトイレ,Nhà vệ sinh di động,简易厕所
59,mochi,ペットに必要なもの,Items for pets,ペットにひつようなもの,Vật dụng cho thú cưng,宠物用品
60,mochi,・入れ歯・補聴器\n・常備薬\n・お薬手帳\n・大人用おむつ\n・老眼鏡,・Dentures/Hearing aids\n・Regular medicine\n・Medicine notebook\n・Adult diapers\n・Reading glasses,・いれば・ほちょうき\n・じょうびやく\n・おくすりてちょう\n・おとなようおむつ\n・ろうがんきょう,・Răng giả/Máy trợ thính\n・Thuốc thường dùng\n・Sổ tay dùng thuốc\n・Tã người lớn\n・Kính lão,・假牙・助听器\n・常备药\n・用药手册\n・成人尿布\n・老花镜
61,mochi,高齢者の方は、普段使っているものが避難所では手に入りにくいことがあります。命や生活に関わるものを優先的に準備しましょう。,For elderly people、 items they usually use may be difficult to obtain at evacuation centers. Prioritize preparing items related to life and daily living.,おとしよりのひとは、ふだんつかっているものがひなんじょではてにはいりにくいことがあります。いのちやせいかつにかかわるものをゆうせんてきにじゅんびしましょう。,Đối với người cao tuổi、 những vật dụng thường dùng có thể khó tìm thấy tại nơi trú ẩn. Hãy ưu tiên chuẩn bị những thứ liên quan đến tính mạng và sinh hoạt hàng ngày.,老年人平时使用的物品在避难所可能难以获得。请优先准备与生命和日常生活相关的物品。
62,mochi,・生理用品\n・サニタリーショーツ\n・おりものシート\n・鏡\n・ヘアゴム,・Sanitary products\n・Sanitary shorts\n・Panty liners\n・Mirror\n・Hair ties,・せいりようひん\n・サニタリーショーツ\n・おりものシート\n・かがみ\n・ヘアゴム,・Dụng cụ vệ sinh phụ nữ\n・Quần lót vệ sinh\n・Băng vệ sinh hàng ngày\n・Gương\n・Chun buộc tóc,・生理用品\n・生理裤\n・护垫\n・镜子\n・发圈
63,mochi,避難所ではプライバシーの確保が難しく、衛生面でも不安が生じやすいです。自分に合った衛生用品を用意しておきましょう。,At evacuation centers、 it is difficult to ensure privacy、 and there is often concern about hygiene. Prepare hygiene products that suit you.,ひなんじょではプライバシーのかくほがむずかしく、えいせいめんでもふあんがしょうじやすいです。じぶんにあったえいせいようひんをよういしておきましょう。,Tại nơi trú ẩn、 việc đảm bảo riêng tư rất khó khăn và dễ nảy sinh lo ngại về vệ sinh. Hãy chuẩn bị sẵn các dụng cụ vệ sinh phù hợp với bản thân.,在避难所、保障隐私较为困难、卫生方面也容易产生不安。请准备好适合自己的卫生用品。
64,mochi,断水時にはトイレが使えなくなります。簡易トイレや凝固剤を用意しておくと、不衛生な状態を防ぐことができます。,Toilets will be unusable during water outages. Preparing portable toilets and coagulants can prevent unsanitary conditions.,だんすいのときにはトイレがつかえなくなります。かんいトイレやぎょうこざいをよういしておくと、ふえいせいなじょうたいをふせぐことができます。,Khi mất nước、 nhà vệ sinh sẽ không thể sử dụng. Chuẩn bị sẵn nhà vệ sinh di động và chất đông đặc có thể ngăn chặn tình trạng mất vệ sinh.,断水时厕所将无法使用。准备简易厕所和凝固剂可以防止不卫生的情况发生。
65,mochi,・リード・首輪\n・ペット用トイレシート\n・おもちゃ\n・健康保険証（あれば）,・Leash/Collar\n・Pet toilet sheets\n・Toys\n・Health insurance card (if any),・リード・くびわ\n・ペットようトイレシート\n・おもちゃ\n・けんこうほけんしょう,・Dây xích/Vòng cổ\n・Tấm lót vệ sinh cho thú cưng\n・Đồ chơi\n・Thẻ bảo hiểm y tế (nếu có),・牵引绳・项圈\n・宠物用排泄垫\n・玩具\n・健康保险证（如有）
66,mochi,ペットとの同行避難では、周囲への配慮が不可欠です。普段使い慣れたものを用意し、ストレスを軽減してあげましょう。,When evacuating with your pet、 consideration for those around you is essential. Prepare items your pet is used to using to reduce their stress.,ペットとのどうこうひなんでは、しゅういへのはいりょがふかけつです。ふだんつかいなれたものをよういし、ストレスをけいげんしてあげましょう。,Khi sơ tán cùng thú cưng、 việc quan tâm đến mọi người xung quanh là rất quan trọng. Hãy chuẩn bị những vật dụng quen thuộc để giúp chúng giảm bớt căng thẳng.,与宠物一同避难时、顾及周围人是必不可少的。请准备好宠物平时用惯的物品、以减轻它们的压力。
67,mochi,男性,Male,だんせい,Nam giới,男性
68,mochi,子供,Child,こども,Trẻ em,儿童
69,mochi,子供に必要なもの,Items for children,こどもにひつようなもの,Vật dụng cho trẻ em,儿童用品
70,mochi,・子供用衣類\n・お菓子\n・おもちゃ\n・迷子札,・Children's clothes\n・Snacks\n・Toys\n・ID tag,・こどもようのふく\n・おかし\n・おもちゃ\n・まいごふだ,・Quần áo trẻ em\n・Đồ ăn vặt\n・Đồ chơi\n・Thẻ tên,・儿童衣物\n・零食\n・玩具\n・防丢牌
71,mochi,子供がいる場合は、環境の変化に敏感になりやすいです。お気に入りのお菓子や、安心できるものを用意しておきましょう。,Children are sensitive to environmental changes. Prepare their favorite snacks and items that make them feel secure.,こどもがいるばあいは、かんきょうのへんかにびんかんになりやすいです。おきにいりのおかしや、あんしんできるものを用意しておきましょう。,Trẻ em thường nhạy cảm với sự thay đổi môi trường. Hãy chuẩn bị đồ ăn vặt yêu thích và những vật dụng mang lại cảm giác an tâm cho bé.,孩子对环境变化比较敏感。请准备好他们喜欢的零食和能让他们感到安心的物品。
72,mochi,性別を選択してください,Select gender,せいべつをえらんでください,Chọn giới tính,选择性别
73,mochi,家族構成を選択してください,Select family composition,かぞくをえらんでください,Chọn thành phần gia đình,选择家庭构成
74,mochi,ペットの有無を選択してください,Select pet ownership,ペットがいるかえらんでください,Chọn việc có thú cưng hay không,选择是否有宠物
75,mochi,男性に必要なもの,Items for men,だんせいにひつようなもの,Vật dụng cho nam giới,男性用品
76,mochi,・カミソリ\n・シェービングフォーム,・Razor\n・Shaving foam,・かみそり\n・しぇーびんぐふぉーむ,・Dao cạo râu\n・Kem cạo râu,・剃须刀・剃须膏
77,mochi,男性特有の衛生用品も忘れずに準備しましょう。,Don't forget to prepare hygiene products specific to men.,だんせいとくゆうのえいせいようひんもわすれずにじゅんびしましょう。,Đừng quên chuẩn bị các dụng cụ vệ sinh dành riêng cho nam giới.,别忘了准备男性特有的卫生用品。
78,mochi,女性,Female,じょせい,Phụ nữ,女性
79,mochi,赤ちゃん,Baby,あかちゃん,Em bé,婴儿
80,mochi,高齢者,Elderly,こうれいしゃ,Người cao tuổi,老年人
81,mochi,ペット,Pet,ペット,Thú cưng,宠物
0,wizard,性別選択,Select Gender,せいべつせんたく,Chọn giới tính,选择性别
1,wizard,男性,Male,だんせい,Nam giới,男性
2,wizard,女性,Female,じょせい,Phụ nữ,女性
3,wizard,その他,Other,そのた,Khác,其他
4,wizard,次へ,Next,つぎへ,Tiếp theo,下一步
5,wizard,子供・赤ちゃんの有無,Presence of children/babies,こども・あかちゃんのうむ,Có trẻ em/trẻ sơ sinh không,是否有孩子/婴儿
6,wizard,いない,None,いない,Không có,没有
7,wizard,子供がいる,Child present,こどもがいる,Có trẻ em,有孩子
8,wizard,赤ちゃんがいる,Baby present,あかちゃんがいる,Có trẻ sơ sinh,有婴儿
9,wizard,ペットの有無,Presence of pets,ペットのうむ,Có thú cưng không,是否有宠物
10,wizard,いる,Yes,いる,Có,有
11,wizard,いない,No,いない,Không,没有
12,wizard,結果を見る,View Results,けっかをみる,Xem kết quả,查看结果
13,wizard,備蓄品TODOリスト,Stockpile TODO List,びちくひんTODOりすと,Danh sách TODO đồ dự phòng,备蓄品TODO列表
14,wizard,水,Water,みず,Nước,水
15,wizard,非常食,Emergency Food,ひじょうしょく,Thực phẩm khẩn cấp,非常食
16,wizard,懐中電灯,Flashlight,かいちゅうでんとう,Đèn pin,手电筒
17,wizard,モバイルバッテリー,Mobile Battery,モバイルバッテリー,Pin sạc dự phòng,移动电源
18,wizard,生理用品,Sanitary Products,せいりようひん,Dụng cụ vệ sinh phụ nữ,生理用品
19,wizard,子供用非常食,Emergency Food for Children,こどもようひじょうしょく,Thực phẩm khẩn cấp cho trẻ em,儿童用非常食
20,wizard,粉ミルク,Powdered Milk,こなみるく,Sữa bột,奶粉
21,wizard,おむつ,Diapers,おむつ,Tã,尿布
22,wizard,ペットフード,Pet Food,ぺっとふーど,Thức ăn cho thú cưng,宠物食品
23,wizard,ペット用水,Water for Pets,ぺっとようのみず,Nước cho thú cưng,宠物用水
24,wizard,備蓄品診断,Stockpile Diagnosis,びちくひんしんだん,Chẩn đoán đồ dự phòng,备蓄品诊断
